time,ultrasonic,sheepCount
1585150575.252364,148,3
1585150575.314973,148,3
1585150575.377528,148,3
1585150575.440169,148,3
1585150575.502805,148,3
1585150575.565418,148,3
1585150575.628107,148,3
1585150575.690722,148,3
1585150575.753281,148,3
1585150575.816065,148,3
1585150575.878655,148,3
1585150575.941283,148,3
1585150576.003897,148,3
1585150576.066512,148,3
1585150576.129077,148,3
1585150576.191577,148,3
1585150576.254028,148,3
1585150576.316477,148,3
1585150576.378887,148,3
1585150576.441290,148,3
1585150576.503703,148,3
1585150576.566113,148,3
1585150576.628567,148,3
1585150576.690981,148,3
1585150576.753404,148,3
1585150576.815828,148,3
1585150576.878375,148,3
1585150576.940826,148,3
1585150577.003233,148,3
1585150577.065631,148,3
1585150577.128110,148,3
1585150577.190541,148,3
1585150577.252940,148,3
1585150577.315362,148,3
1585150577.377770,148,3
1585150577.440170,148,3
1585150577.502581,148,3
1585150577.564996,148,3
1585150577.627402,148,3
1585150577.689851,148,3
1585150577.752252,148,3
1585150577.814659,148,3
1585150577.877106,148,3
1585150577.939524,148,3
1585150578.001970,148,3
1585150578.064375,148,3
1585150578.126862,148,3
1585150578.189393,148,3
1585150578.251821,148,3
1585150578.314267,148,3
1585150578.376744,148,3
1585150578.439159,148,3
1585150578.501560,148,3
1585150578.563965,148,3
1585150578.626401,148,3
1585150578.688810,148,3
1585150578.751220,148,3
1585150578.813638,148,3
1585150578.876054,148,3
1585150578.938519,148,3
1585150579.000944,148,3
1585150579.063349,148,3
1585150579.125749,148,3
1585150579.188254,148,3
1585150579.250698,148,3
1585150579.313104,148,3
1585150579.375513,148,3
1585150579.437930,148,3
1585150579.500327,148,3
1585150579.562734,148,3
1585150579.625144,148,3
1585150579.687555,148,3
1585150579.749960,148,3
1585150579.812370,148,3
1585150579.874800,148,3
1585150579.937239,148,3
1585150579.999698,148,3
1585150580.062105,148,3
1585150580.124521,148,3
1585150580.186935,148,3
1585150580.249384,148,3
1585150580.311921,148,3
1585150580.374499,148,3
1585150580.437162,148,3
1585150580.499780,148,3
1585150580.562307,148,3
1585150580.624931,148,3
1585150580.687563,148,3
1585150580.750162,148,3
1585150580.812759,148,3
1585150580.875380,148,3
1585150580.938094,148,3
1585150581.000777,148,3
1585150581.063388,148,3
1585150581.126067,148,3
1585150581.188687,148,3
1585150581.251306,149,3
1585150581.313895,148,3
1585150581.376514,148,3
1585150581.439126,148,3
1585150581.501748,148,3
1585150581.564367,149,3
1585150581.627041,148,3
1585150581.689650,148,3
1585150581.752285,148,3
1585150581.814929,148,3
1585150581.877549,20,3
1585150581.940201,150,3
1585150582.002790,22,3
1585150582.065433,161,3
1585150582.128039,18,3
1585150582.190678,16,3
1585150582.253230,17,3
1585150582.315838,161,3
1585150582.378491,21,3
1585150582.441075,18,3
1585150582.503785,14,4
1585150582.566284,14,4
1585150582.628701,18,4
